date,atm_withdrawals,debit_card_trans
2020 March 01,267074,3259740
2020 March 02,296444,3245856
2020 March 03,363225,3392281
2020 March 04,348504,3419662
2020 March 05,453870,3860407
2020 March 06,537777,4401660
2020 March 07,402614,4016649
2020 March 08,247856,3072928
2020 March 09,262064,3149519
2020 March 10,327077,3403546
2020 March 11,315418,3395214
2020 March 12,430215,4306187
2020 March 13,460929,4182647
2020 March 14,290346,3485386
2020 March 15,169439,2618653
2020 March 16,204405,3023871
2020 March 17,121376,1900589
2020 March 18,191456,2569826
2020 March 19,241175,2845019
2020 March 20,277393,3157636
2020 March 21,185266,2999882
2020 March 22,110228,2114836
2020 March 23,134513,2357289
2020 March 24,156102,2503606
2020 March 25,151331,2429213
2020 March 26,211070,2663348
2020 March 27,253851,3076632
2020 March 28,126734,2390651
2020 March 29,69000,1624134
2020 March 30,98154,1969495
2020 March 31,132240,2168584
2020 April 01,121601,2256317
2020 April 02,174925,2452613
2020 April 03,193547,2667815
2020 April 04,122236,2404419
2020 April 05,71669,1769638
2020 April 06,105248,2147326
2020 April 07,171846,2502665
2020 April 08,146020,2517603
2020 April 09,200279,2851959
2020 April 10,178218,2784304
2020 April 11,131019,2651625
2020 April 12,60910,1478221
2020 April 13,82330,1820299
2020 April 14,132434,2462700
2020 April 15,142305,2466974
2020 April 16,184107,2694038
2020 April 17,198682,2876456
2020 April 18,130770,2566192
2020 April 19,78518,1885329
2020 April 20,110332,2281001
2020 April 21,166265,2565251
2020 April 22,154742,2546671
2020 April 23,194251,2805948
2020 April 24,222593,3102978
2020 April 25,144756,2760954
2020 April 26,87413,1995283
2020 April 27,122847,2419662
2020 April 28,178461,2682157
2020 April 29,148471,2586985
2020 April 30,221267,3096494
2020 May 01,218189,3290024
2020 May 02,147821,2863211
2020 May 03,88431,2148324
2020 May 04,97297,2145400
2020 May 05,195087,2925231
2020 May 06,182991,2841843
2020 May 07,210187,2976606
2020 May 08,234760,3302964
2020 May 09,150983,2946637
2020 May 10,95681,2160284
2020 May 11,128100,2535099
2020 May 12,184196,2861382
2020 May 13,156365,2760193
2020 May 14,209927,3051941
2020 May 15,230856,3315619
2020 May 16,159643,2951202
2020 May 17,101823,2245007
2020 May 18,135300,2717819
2020 May 19,196976,2974681
2020 May 20,183298,3001838
2020 May 21,224249,3237144
2020 May 22,250982,3492066
2020 May 23,178763,3221633
2020 May 24,111687,2399402
2020 May 25,142548,2824556
2020 May 26,201513,3088678
2020 May 27,176428,3122246
2020 May 28,239741,3552384
2020 May 29,276024,3900990
2020 May 30,188107,3481347
2020 May 31,117108,2571467
2020 June 01,125630,2747314
2020 June 02,214979,3446942
2020 June 03,212222,3249340
2020 June 04,244701,3453979
2020 June 05,277388,3742494
2020 June 06,191306,3337708
2020 June 07,121524,2526407
2020 June 08,160168,3036713
2020 June 09,211760,3259937
2020 June 10,185853,3307161
2020 June 11,242951,3549941
2020 June 12,276170,3896491
2020 June 13,204108,3627229
2020 June 14,125733,2702527
2020 June 15,162470,3167153
2020 June 16,221871,3407275
2020 June 17,207967,3498513
2020 June 18,253214,3771707
2020 June 19,297599,4089847
2020 June 20,215218,3839012
2020 June 21,137342,2771765
2020 June 22,152926,3025690
2020 June 23,212546,3497177
2020 June 24,194593,3425522
2020 June 25,262700,3892921
2020 June 26,304335,4273692
2020 June 27,216075,3855102
2020 June 28,135981,2864852
2020 June 29,205358,3365448
2020 June 30,267333,3713676
2020 July 01,251384,3787980
2020 July 02,304674,3999818
2020 July 03,339944,4360822
2020 July 04,257368,4013097
2020 July 05,153030,2960445
2020 July 06,190938,3370867
2020 July 07,254287,3649002
2020 July 08,223223,3600463
2020 July 09,299809,3993494
2020 July 10,334589,4355260
2020 July 11,257792,4114386
2020 July 12,158671,3016491
2020 July 13,192399,3391794
2020 July 14,239988,3515224
2020 July 15,242618,3671721
2020 July 16,297347,4020848
2020 July 17,342311,4363160
2020 July 18,258516,4073324
2020 July 19,159958,3055616
2020 July 20,190334,3390071
2020 July 21,244131,3616960
2020 July 22,224461,3610039
2020 July 23,300691,3980515
2020 July 24,337291,4407557
2020 July 25,262928,4094428
2020 July 26,165053,3091269
2020 July 27,197450,3459148
2020 July 28,254409,3653010
2020 July 29,248494,3709285
2020 July 30,321264,4199821
2020 July 31,371981,4539812
2020 August 01,274270,4284475
2020 August 02,172840,3157894
2020 August 03,167533,3119064
2020 August 04,250369,3832765
2020 August 05,246040,3716321
2020 August 06,304876,4102776
2020 August 07,343139,4442956
2020 August 08,256551,4075184
2020 August 09,161393,3075628
2020 August 10,193351,3450003
2020 August 11,238920,3650033
2020 August 12,237585,3744047
2020 August 13,300178,4073673
2020 August 14,355410,4519823
2020 August 15,264494,4099733
2020 August 16,161651,3075050
2020 August 17,184003,3391218
2020 August 18,243060,3583106
2020 August 19,211180,3502201
2020 August 20,284308,3882742
2020 August 21,342343,4374760
2020 August 22,263724,4100532
2020 August 23,162589,3099627
2020 August 24,191248,3452854
2020 August 25,224876,3538046
2020 August 26,249791,3742717
2020 August 27,307621,4148810
2020 August 28,375225,4536032
2020 August 29,286016,4386985
2020 August 30,175879,3293872
2020 August 31,210375,3589183
2020 September 01,274183,3953429
2020 September 02,227372,3665719
2020 September 03,307923,4097366
2020 September 04,356738,4474808
2020 September 05,276438,4290637
2020 September 06,168777,3224552
2020 September 07,194393,3396971
2020 September 08,236271,3464862
2020 September 09,236619,3635500
2020 September 10,309507,4032560
2020 September 11,365892,4466199
2020 September 12,282856,4257099
2020 September 13,168445,3180295
2020 September 14,189452,3370134
2020 September 15,237389,3495020
2020 September 16,223737,3531312
2020 September 17,307839,4027849
2020 September 18,362938,4423624
2020 September 19,275236,4143143
2020 September 20,164037,3127977
2020 September 21,192772,3340200
2020 September 22,227672,3372299
2020 September 23,238081,3557185
2020 September 24,307511,4016760
2020 September 25,386645,4642756
2020 September 26,289441,4315734
2020 September 27,171098,3200536
2020 September 28,197733,3419568
2020 September 29,240327,3453633
2020 September 30,230886,3605733
2020 October 01,318019,4177274
2020 October 02,364492,4489155
2020 October 03,277716,4229253
2020 October 04,147331,2965589
2020 October 05,193099,3376700
2020 October 06,254296,3637257
2020 October 07,221014,3496541
2020 October 08,294914,3956362
2020 October 09,346596,4363245
2020 October 10,252594,4114411
2020 October 11,148736,3014227
2020 October 12,176046,3346501
2020 October 13,217927,3456541
2020 October 14,203927,3415580
2020 October 15,290341,3932442
2020 October 16,331565,4364053
2020 October 17,248999,4166883
2020 October 18,146703,3026837
2020 October 19,174901,3420920
2020 October 20,249910,3817809
2020 October 21,266824,4064636
2020 October 22,250809,3548124
2020 October 23,300509,3959642
2020 October 24,196583,3538038
2020 October 25,118341,2692904
2020 October 26,126264,2650886
2020 October 27,173090,3204273
2020 October 28,183696,3191337
2020 October 29,243152,3634672
2020 October 30,312490,4164645
2020 October 31,202338,3537664
2020 November 01,118734,2704283
2020 November 02,159967,3067756
2020 November 03,219667,3429791
2020 November 04,199183,3356055
2020 November 05,260967,3738728
2020 November 06,308047,4157506
2020 November 07,206684,3723209
2020 November 08,125764,2792030
2020 November 09,156057,3220614
2020 November 10,196919,3337778
2020 November 11,174366,3269160
2020 November 12,260809,3784097
2020 November 13,307456,4234919
2020 November 14,198653,3762827
2020 November 15,122256,2778021
2020 November 16,151498,3142553
2020 November 17,199250,3365255
2020 November 18,188252,3389347
2020 November 19,259081,3819545
2020 November 20,305246,4282387
2020 November 21,206985,3838236
2020 November 22,125759,2955064
2020 November 23,156076,3257091