year,month,ATM transactions,POS transactions
2015,Jan,1268549,1834550
2015,Feb,1278664,1756066
2015,Mar,1538207,2073331
2015,Apr,1509132,1952864
2015,May,1546118,1931556
2015,Jun,1629951,2193259
2015,Jul,1658696,2125519
2015,Aug,1608693,2183335
2015,Sep,1573762,2152051
2015,Oct,1580685,2156516
2015,Nov,1535289,2385696
2015,Dec,1734282,2754918
2016,Jan,1350880,2098266
2016,Feb,1446193,2280952
2016,Mar,1580401,2397764
2016,Apr,1546804,2311216
2016,May,1614774,2602386
2016,Jun,1650468,2507175
2016,Jul,1652733,2497024
2016,Aug,1703569,2793756
2016,Sep,1627412,2586366
2016,Oct,1533138,2446816
2016,Nov,1600554,2922031
2016,Dec,1748988,3143298
2017,Jan,1446513,2705345
2017,Feb,1388768,2447175
2017,Mar,1604314,2728623
2017,Apr,1514538,2688833
2017,May,1674788,3096448
2017,Jun,1658340,2904976
2017,Jul,1677132,3057936
2017,Aug,1686570,3080328
2017,Sep,1575925,2935667
2017,Oct,1582780,3159377
2017,Nov,1571229,3302987
2017,Dec,1718484,3601944
2018,Jan,1434308,3241272
2018,Feb,1384774,2788208
2018,Mar,1500380,2855676
2018,Apr,1619363,3286729
2018,May,1656422,3240661
2018,Jun,1758066,3141509
2018,Jul,1825379,3471099
2018,Aug,1800771,3397339
2018,Sep,1657790,3128175
2018,Oct,1777381,3651852
2018,Nov,1667561,3644450
2018,Dec,1844484,4063431
2019,Jan,1483091,3367354
2019,Feb,1474806,3145364
2019,Mar,1607113,3384514
2019,Apr,1673722,3769685
2019,May,1748471,3723757
2019,Jun,1620274,3471270
2019,Jul,1782311,4075368
2019,Aug,1701817,3794021
2019,Sep,1655028,3893960
2019,Oct,1628229,3911121
2019,Nov,1513721,3939097
2019,Dec,1783939,4814757
2020,Jan,1414215,3839330
2020,Feb,1352363,3574791
2020,Mar,1222969,3788218
2020,Apr,710309,3006251
2020,May,825691,3443186
2020,Jun,1021611,4332706
2020,Jul,1183720,4568798
2020,Aug,1132914,4553863
2020,Sep,1126669,4490999
2020,Oct,1061179,4439057
2020,Nov,974965,4605698
2020,Dec,1252653,5549813
2021,Jan,754956,3725668
2021,Feb,810173,3851393
2021,Mar,1001467,4721077
2021,Apr,972268,4455653
2021,May,1033594,4944624
2021,Jun,1099882,5052599
2021,Jul,1152245,5173221
2021,Aug,1184841,5506469
2021,Sep,1156215,5299480
2021,Oct,1134198,5216874
2021,Nov,1138998,6019428
2021,Dec,1232282,6153340
2022,Jan,939885,5103221
2022,Feb,971985,5012984
2022,Mar,1131288,5662034
2022,Apr,1112897,5484129
2022,May,1211291,6152763
2022,Jun,1167474,5924495
2022,Jul,1160172,5841954
2022,Aug,1219614,6467888
2022,Sep,1140222,5985671
2022,Oct,1092968,5912134
2022,Nov,1093071,6455109
2022,Dec,1209631,6928890
2023,Jan,965885,6003639
2023,Feb,956625,5579429
2023,Mar,1091455,6362696